Sentence,Symptom
"If you could time travel, where would you go?",irrelevent
"If you could have any superpower, what would it be?",irrelevent
"If you could invent something, what would it be?",irrelevent
"If you could live anywhere in the world, where would it be?",irrelevent
"If you could have dinner with any three people, dead or alive, who would they be?",irrelevent
"If you could change one thing about your past, what would it be?",irrelevent
"If you could have any job in the world, what would it be?",irrelevent
"If you could learn any skill, what would it be?",irrelevent
What do you think is the meaning of life?,irrelevent
What is the nature of consciousness?,irrelevent
What is the difference between right and wrong?,irrelevent
What is the role of technology in society?,irrelevent
What is the future of humanity?,irrelevent
What is the relationship between mind and body?,irrelevent
What is the nature of reality?,irrelevent
What is the role of art in society?,irrelevent
What is the importance of education?,irrelevent
What is the nature of time?,irrelevent
What is the role of religion in society?,irrelevent
What is the importance of family?,irrelevent
What is the nature of love?,irrelevent
What is the role of government in society?,irrelevent
What is the importance of friendship?,irrelevent
What is the nature of evil?,irrelevent
What is the nature of evil?,irrelevent
What is the importance of diversity?,irrelevent
What is the nature of happiness?,irrelevent
What is the role of work in life?,irrelevent
