Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
Bronchial Asthma,wheezing,breathlessness,tight_chest,persistent_cough,,,,,,,,,,,,,
Bronchial Asthma,wheezing,breathlessness,tight_chest,persistent_cough,family_history,,,,,,,,,,,,
Bronchial Asthma,wheezing,breathlessness,tight_chest,persistent_cough,high_fever,family_history,,,,,,,,,,,
Hypertension,chest_pain,dizziness,difficulty_breathing,,abnormal_heart_rhythm,blurred vision,,,,,,,,,,,
Hypertension,chest_pain,dizziness,difficulty_breathing,,abnormal_heart_rhythm,blurred_vision,loss_of_balance,anxiety,,,,,,,,,
Hypertension,chest_pain,dizziness,difficulty_breathing,,abnormal_heart_rhythm,blurred_vision,loss_of_balance,headache,,,,,,,,,
Hypertension,chest_pain,dizziness,difficulty_breathing,,abnormal_heart_rhythm,blurred_vision,loss_of_balance,headache,vomiting,,,,,,,,
Hypertension,chest_pain,dizziness,difficulty_breathing,,abnormal_heart_rhythm,blurred_vision,loss_of_balance,headache,nausea,,,,,,,,
Hypertension,chest_pain,dizziness,difficulty_breathing,,abnormal_heart_rhythm,blurred_vision,loss_of_balance,vomiting,,,,,,,,,
Hypertension,chest_pain,dizziness,difficulty_breathing,,abnormal_heart_rhythm,blurred_vision,loss_of_balance,nausea,,,,,,,,,
Hypertension,chest_pain,dizziness,difficulty_breathing,,abnormal_heart_rhythm,blurred_vision,loss_of_balance,tinnitus,,,,,,,,,
Hypertension,chest_pain,dizziness,difficulty_breathing,,abnormal_heart_rhythm,blurred_vision,loss_of_balance,nosebleeds,,,,,,,,,
Hypertension,chest_pain,dizziness,difficulty_breathing,,abnormal_heart_rhythm,blurred_vision,loss_of_balance,vomiting,tinnitus,,,,,,,,
Hypertension,chest_pain,dizziness,difficulty_breathing,,abnormal_heart_rhythm,blurred_vision,loss_of_balance,vomiting,nosebleeds,,,,,,,,
Hypertension,chest_pain,dizziness,difficulty_breathing,,abnormal_heart_rhythm,blurred_vision,loss_of_balance,nausea,tinnitus,,,,,,,,
Hypertension,chest_pain,dizziness,difficulty_breathing,,abnormal_heart_rhythm,blurred_vision,loss_of_balance,nausea,nosebleeds,,,,,,,,
Hypertension,chest_pain,dizziness,difficulty_breathing,,abnormal_heart_rhythm,blurred_vision,loss_of_balance,headache,tinnitus,,,,,,,,
Chicken pox,high_fever,loss_of_appetite,malaise,spots_over_body_fill_with_fluid  ,,,,,,,,,,,,,
Chicken pox,high_fever,loss_of_appetite,malaise,spots_over_body_fill_with_fluid  ,itchy_blisters,,,,,,,,,,,,
Chicken pox,high_fever,loss_of_appetite,malaise,spots_over_body_leak_fluid,,,,,,,,,,,,,
Chicken pox,high_fever,loss_of_appetite,malaise,red_spots_over_body,,,,,,,,,,,,,
Chicken pox,high_fever,loss_of_appetite,malaise,red_spots_over_body,swelled_lymph_nodes,,,,,,,,,,,,
Chicken pox,high_fever,loss_of_appetite,malaise,red_spots_over_body,swelled_lymph_nodes,headache,,,,,,,,,,,
Chicken pox,high_fever,loss_of_appetite,malaise,red_spots_over_body,swelled_lymph_nodes,lethargy,,,,,,,,,,,
Chicken pox,high_fever,loss_of_appetite,malaise,red_spots_over_body,headache,,,,,,,,,,,,
Chicken pox,high_fever,loss_of_appetite,malaise,red_spots_over_body,lethargy,,,,,,,,,,,,
Chicken pox,high_fever,loss_of_appetite,malaise,spots_over_body_fill_with_fluid ,swelled_lymph_nodes,,,,,,,,,,,,
Chicken pox,high_fever,loss_of_appetite,malaise,spots_over_body_fill_with_fluid ,swelled_lymph_nodes,headache,,,,,,,,,,,
Chicken pox,high_fever,loss_of_appetite,malaise,spots_over_body_fill_with_fluid ,swelled_lymph_nodes,headache,lethargy,,,,,,,,,,
Chicken pox,high_fever,loss_of_appetite,malaise,spots_over_body_fill_with_fluid ,swelled_lymph_nodes,lethargy,,,,,,,,,,,
Tuberculosis,prolonged_cough,chest_pain,fatigue,yellowing_of_eyes,breathlessness,sweating,loss_of_appetite,phlegm,night_sweats,chills,,,,,,,
Tuberculosis,prolonged_cough,chest_pain,fatigue,yellowing_of_eyes,breathlessness,sweating,loss_of_appetite,phlegm,night_sweats,vomiting,,,,,,,
Tuberculosis,prolonged_cough,chest_pain,fatigue,yellowing_of_eyes,breathlessness,sweating,loss_of_appetite,phlegm,night_sweats,swelled_lymph_nodes,,,,,,,
Tuberculosis,prolonged_cough,chest_pain,fatigue,yellowing_of_eyes,breathlessness,sweating,loss_of_appetite,phlegm,night_sweats,malaise,,,,,,,
Tuberculosis,prolonged_cough,chest_pain,fatigue,yellowing_of_eyes,breathlessness,sweating,loss_of_appetite,phlegm,night_sweats,high_fever,,,,,,,
Tuberculosis,prolonged_cough,chest_pain,fatigue,yellowing_of_eyes,breathlessness,sweating,loss_of_appetite,phlegm,night_sweats,weight_loss,,,,,,,
Tuberculosis,prolonged_cough,chest_pain,fatigue,yellowing_of_eyes,breathlessness,sweating,loss_of_appetite,phlegm,night_sweats,blood_in_sputum,,,,,,,
Tuberculosis,prolonged_cough,chest_pain,fatigue,yellowing_of_eyes,breathlessness,sweating,loss_of_appetite,phlegm,night_sweats,chills,vomiting,,,,,,
Tuberculosis,prolonged_cough,chest_pain,fatigue,yellowing_of_eyes,breathlessness,sweating,loss_of_appetite,phlegm,night_sweats,swelled_lymph_nodes,malaise,,,,,,
Tuberculosis,prolonged_cough,chest_pain,fatigue,yellowing_of_eyes,breathlessness,sweating,loss_of_appetite,phlegm,night_sweats,high_fever,blood_in_sputum,,,,,,
Tuberculosis,prolonged_cough,chest_pain,fatigue,yellowing_of_eyes,breathlessness,sweating,loss_of_appetite,phlegm,night_sweats,malaise,blood_in_sputum,,,,,,
Tuberculosis,prolonged_cough,chest_pain,fatigue,yellowing_of_eyes,breathlessness,sweating,loss_of_appetite,phlegm,night_sweats,chills,malaise,high_fever,,,,,
Tuberculosis,prolonged_cough,chest_pain,fatigue,yellowing_of_eyes,breathlessness,sweating,loss_of_appetite,phlegm,night_sweats,blood_in_sputum,malaise,vomiting,,,,,
Tuberculosis,prolonged_cough,chest_pain,fatigue,yellowing_of_eyes,breathlessness,sweating,loss_of_appetite,phlegm,night_sweats,swelled_lymph_nodes,malaise,high_fever,weight_loss,,,,
Tuberculosis,prolonged_cough,chest_pain,fatigue,yellowing_of_eyes,breathlessness,sweating,loss_of_appetite,phlegm,night_sweats,swelled_lymph_nodes,malaise,high_fever,weight_loss,blood_in_sputum,,,
Tuberculosis,prolonged_cough,chest_pain,fatigue,yellowing_of_eyes,breathlessness,sweating,loss_of_appetite,phlegm,night_sweats,chills,vomiting,swelled_lymph_nodes,malaise,high_fever,weight_loss,blood_in_sputum,
Pneumonia,cough,chest_pain,breathlessness,high_fever,wheezing,fast_heart_rate,rusty_sputum,phlegm,fatigue,,,,,,,,
Pneumonia,cough,chest_pain,breathlessness,high_fever,wheezing,fast_heart_rate,rusty_sputum,phlegm,fatigue,sweating,,,,,,,
Pneumonia,cough,chest_pain,breathlessness,high_fever,wheezing,fast_heart_rate,rusty_sputum,phlegm,fatigue,aching_body,,,,,,,
Pneumonia,cough,chest_pain,breathlessness,high_fever,wheezing,fast_heart_rate,rusty_sputum,phlegm,fatigue,sweating,aching_body,,,,,,
Pneumonia,cough,chest_pain,breathlessness,high_fever,wheezing,fast_heart_rate,rusty_sputum,phlegm,fatigue,aching_body,,,,,,,
Pneumonia,cough,chest_pain,breathlessness,high_fever,wheezing,fast_heart_rate,rusty_sputum,phlegm,fatigue,chills,,,,,,,
Pneumonia,cough,chest_pain,breathlessness,high_fever,wheezing,fast_heart_rate,rusty_sputum,phlegm,fatigue,sweating,aching_body,chills,,,,,
Pneumonia,cough,chest_pain,breathlessness,high_fever,wheezing,fast_heart_rate,rusty_sputum,phlegm,fatigue,feeling_confused,,,,,,,
Pneumonia,cough,chest_pain,breathlessness,high_fever,wheezing,fast_heart_rate,rusty_sputum,phlegm,fatigue,sweating,aching_body,feeling_confused,,,,,
Hypothyroidism,weight_gain,depression,joint_pain ,muscle_pain,dry_skin,swollen_extremeties,fatigue,cold_hands_and_feets,enlarged_thyroid,dizziness,,,,,,,
Hypothyroidism,weight_gain,depression,joint_pain ,muscle_pain,dry_skin,swollen_extremeties,fatigue,cold_hands_and_feets,enlarged_thyroid,dizziness,muscle_cramps,slow_movements,slow_thoughts,,,,
Hypothyroidism,weight_gain,depression,joint_pain ,muscle_pain,dry_skin,swollen_extremeties,fatigue,cold_hands_and_feets,enlarged_thyroid,dizziness,slow_movements,slow_thoughts,,,,,
Hypothyroidism,weight_gain,depression,joint_pain ,muscle_pain,dry_skin,swollen_extremeties,fatigue,cold_hands_and_feets,enlarged_thyroid,dizziness,abnormal_menstruation,,,,,,
Hypothyroidism,weight_gain,depression,joint_pain ,muscle_pain,dry_skin,swollen_extremeties,fatigue,cold_hands_and_feets,enlarged_thyroid,dizziness,muscle_cramps,slow_movements,slow_thoughts,abnormal_menstruation,,,
Hypothyroidism,weight_gain,depression,joint_pain ,muscle_pain,dry_skin,swollen_extremeties,fatigue,cold_hands_and_feets,enlarged_thyroid,dizziness,slowed_heart_rate,,,,,,
Hypothyroidism,weight_gain,depression,joint_pain ,muscle_pain,dry_skin,swollen_extremeties,fatigue,cold_hands_and_feets,enlarged_thyroid,dizziness,muscle_cramps,abnormal_menstruation,,,,,
Hypothyroidism,weight_gain,depression,joint_pain ,muscle_pain,dry_skin,swollen_extremeties,fatigue,cold_hands_and_feets,enlarged_thyroid,dizziness,slow_movements,slow_thoughts,abnormal_menstruation,,,,
Arthritis,joint_pain,stiff_neck,painful_walking,muscle_weakness,swelling_joints,movement_stiffness,,,,,,,,,,,
Arthritis,joint_pain,stiff_neck,painful_walking,muscle_weakness,swelling_joints,movement_stiffness,inflammation_joint,,,,,,,,,,
Arthritis,joint_pain,stiff_neck,painful_walking,muscle_weakness,swelling_joints,movement_stiffness,warm_red_skin_over_the_affected_joint,,,,,,,,,,
Arthritis,joint_pain,stiff_neck,painful_walking,muscle_weakness,swelling_joints,movement_stiffness,,muscle_wasting,,,,,,,,,
Arthritis,joint_pain,stiff_neck,painful_walking,muscle_weakness,swelling_joints,movement_stiffness,inflammation_joint,,warm_red_skin_over_the_affected_joint,,,,,,,,
Arthritis,joint_pain,stiff_neck,painful_walking,muscle_weakness,swelling_joints,movement_stiffness,inflammation_joint,muscle_wasting,,,,,,,,,
Arthritis,joint_pain,stiff_neck,painful_walking,muscle_weakness,swelling_joints,movement_stiffness,warm_red_skin_over_the_affected_joint,muscle_wasting,,,,,,,,,
Arthritis,joint_pain,stiff_neck,painful_walking,muscle_weakness,swelling_joints,movement_stiffness,inflammation_joint,warm_red_skin_over_the_affected_joint,muscle_wasting,,,,,,,,
Lower Urinary tract infection,continuous_feel_of_urine,lower_belly_pain,burning_micturition,pain_when_peeing ,frequent_urination,bladder_discomfort,cloudy_urine,,,,,,,,,,
Lower Urinary tract infection,continuous_feel_of_urine,lower_belly_pain,burning_micturition,pain_when_peeing ,frequent_urination,bladder_discomfort,cloudy_urine,foul_smelling_urine,,,,,,,,,
Lower Urinary tract infection,continuous_feel_of_urine,lower_belly_pain,burning_micturition,pain_when_peeing ,frequent_urination,bladder_discomfort,cloudy_urine,blood_in_urine,,,,,,,,,
Lower Urinary tract infection,continuous_feel_of_urine,lower_belly_pain,burning_micturition,pain_when_peeing ,frequent_urination,bladder_discomfort,cloudy_urine,tired,,,,,,,,,
Lower Urinary tract infection,continuous_feel_of_urine,lower_belly_pain,burning_micturition,pain_when_peeing ,frequent_urination,bladder_discomfort,cloudy_urine,foul_smelling_urine,blood_in_urine,,,,,,,,
Lower Urinary tract infection,continuous_feel_of_urine,lower_belly_pain,burning_micturition,pain_when_peeing ,frequent_urination,bladder_discomfort,cloudy_urine,,,,,,,,,,
Lower Urinary tract infection,continuous_feel_of_urine,pain_when_peeing ,bladder_discomfort,cloudy_urine,frequent_urination,,,,,,,,,,,,
Upper Urinary tract infection,continuous_feel_of_urine,lower_belly_pain,burning_micturition,pain_when_peeing ,frequent_urination,bladder_discomfort,cloudy_urine,high_temperature,,,,,,,,,
Upper Urinary tract infection,continuous_feel_of_urine,lower_belly_pain,burning_micturition,pain_when_peeing ,frequent_urination,bladder_discomfort,cloudy_urine,pain_in_back,,,,,,,,,
Upper Urinary tract infection,continuous_feel_of_urine,lower_belly_pain,burning_micturition,pain_when_peeing ,frequent_urination,bladder_discomfort,cloudy_urine,high_temperature,pain_in_back,blood_in_urine,,,,,,,
Upper Urinary tract infection,continuous_feel_of_urine,lower_belly_pain,burning_micturition,pain_when_peeing ,frequent_urination,bladder_discomfort,cloudy_urine,high_temperature,pain_in_back,blood_in_urine,shivering,,,,,,
Upper Urinary tract infection,continuous_feel_of_urine,lower_belly_pain,burning_micturition,pain_when_peeing ,frequent_urination,bladder_discomfort,cloudy_urine,high_temperature,pain_in_back,blood_in_urine,confusion,,,,,,
Upper Urinary tract infection,continuous_feel_of_urine,lower_belly_pain,burning_micturition,pain_when_peeing ,frequent_urination,bladder_discomfort,cloudy_urine,high_temperature,pain_in_back,blood_in_urine,agitation,,,,,,
Upper Urinary tract infection,continuous_feel_of_urine,lower_belly_pain,burning_micturition,pain_when_peeing ,frequent_urination,bladder_discomfort,cloudy_urine,high_temperature,pain_in_back,blood_in_urine,shivering,confusion,,,,,
Upper Urinary tract infection,continuous_feel_of_urine,lower_belly_pain,burning_micturition,pain_when_peeing ,frequent_urination,bladder_discomfort,cloudy_urine,high_temperature,pain_in_back,shivering,confusion,,,,,,
Psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting, small_dents_in_nails, inflammatory_nails,,,,,,,,,,,
Psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting, small_dents_in_nails, inflammatory_nails,,,,,,,,,,,
Psoriasis, joint_pain, skin_peeling, silver_like_dusting, small_dents_in_nails, inflammatory_nails,,,,,,,,,,,,
Psoriasis, skin_rash, skin_peeling, silver_like_dusting, small_dents_in_nails, inflammatory_nails,,,,,,,,,,,,
Psoriasis, skin_rash, joint_pain, silver_like_dusting, small_dents_in_nails, inflammatory_nails,,,,,,,,,,,,
Psoriasis, skin_rash, joint_pain, skin_peeling, small_dents_in_nails, inflammatory_nails,,,,,,,,,,,,
Psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting, inflammatory_nails,,,,,,,,,,,,
Psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting, small_dents_in_nails,,,,,,,,,,,,
Chronic Kidney Disease,frequent_urination,weight_loss,blood_in_urine,itchy_skin,tiredness,nausea,insomnia,,,,,,,,,,
Chronic Kidney Disease,frequent_urination,weight_loss,blood_in_urine,itchy_skin,tiredness,nausea,insomnia,shortness_of_breath,,,,,,,,,
Chronic Kidney Disease,frequent_urination,weight_loss,blood_in_urine,itchy_skin,tiredness,nausea,insomnia,swollen_ankles,,,,,,,,,
Chronic Kidney Disease,frequent_urination,weight_loss,blood_in_urine,itchy_skin,tiredness,nausea,insomnia,headaches,,,,,,,,,
Chronic Kidney Disease,frequent_urination,weight_loss,blood_in_urine,itchy_skin,tiredness,nausea,insomnia,erectile_dysfunction,,,,,,,,,
Chronic Kidney Disease,frequent_urination,weight_loss,blood_in_urine,itchy_skin,tiredness,nausea,insomnia,muscle_cramps,,,,,,,,,
Chronic Kidney Disease,frequent_urination,weight_loss,blood_in_urine,itchy_skin,tiredness,nausea,insomnia,shortness_of_breath,swollen_ankles,,,,,,,,
Chronic Kidney Disease,frequent_urination,weight_loss,blood_in_urine,itchy_skin,tiredness,nausea,insomnia,shortness_of_breath,headaches,,,,,,,,
Chronic Kidney Disease,frequent_urination,weight_loss,blood_in_urine,itchy_skin,tiredness,nausea,insomnia,shortness_of_breath,headaches,muscle_cramps,,,,,,,
Chronic Kidney Disease,frequent_urination,weight_loss,blood_in_urine,itchy_skin,tiredness,nausea,insomnia,erectile_dysfunction,muscle_cramps,,,,,,,,
Chronic Kidney Disease,frequent_urination,weight_loss,blood_in_urine,itchy_skin,tiredness,nausea,insomnia,shortness_of_breath,swollen_ankles,headaches,erectile_dysfunction,muscle_cramps,,,,,
Chronic Kidney Disease,frequent_urination,weight_loss,blood_in_urine,itchy_skin,tiredness,nausea,insomnia,headaches,muscle_cramps,,,,,,,,
Chronic Kidney Disease,frequent_urination,weight_loss,blood_in_urine,itchy_skin,tiredness,nausea,insomnia,headaches,muscle_cramps,swollen_ankles,,,,,,,
Autoimmune Diseases,fatigue,tiredness,joint_pain,stiffness,muscle_aches,skin_change,shortness_of_breath,,,,,,,,,,
Autoimmune Diseases,fatigue,tiredness,joint_pain,stiffness,muscle_aches,skin_change,shortness_of_breath,,fever,,,,,,,,
Autoimmune Diseases,fatigue,tiredness,joint_pain,stiffness,muscle_aches,skin_change,shortness_of_breath,,loss_of_appetite,,,,,,,,
Autoimmune Diseases,fatigue,tiredness,joint_pain,stiffness,muscle_aches,skin_change,shortness_of_breath,,fever,loss_of_appetite,,,,,,,
Stroke,vision_impairment,headache,numbness,confusion  ,trouble_walking,trouble_speaking,facial_paralysis,dizziness,,,,,,,,,
Stroke,vision_impairment,headache,numbness,confusion  ,trouble_walking,trouble_speaking,facial_paralysis,falling_over,,,,,,,,,
Stroke,vision_impairment,headache,numbness,confusion  ,trouble_walking,trouble_speaking,arm_paralysis,dizziness,,,,,,,,,
Stroke,vision_impairment,headache,numbness,confusion  ,trouble_walking,trouble_speaking,arm_paralysis,falling_over,,,,,,,,,
Stroke,vision_impairment,headache,numbness,confusion  ,trouble_walking,trouble_speaking,leg_paralysis,dizziness,,,,,,,,,
Stroke,vision_impairment,headache,numbness,confusion  ,trouble_walking,trouble_speaking,leg_paralysis,falling_over,,,,,,,,,
Stroke,vision_impairment,headache,numbness,memory_loss,trouble_walking,trouble_speaking,facial_paralysis,dizziness,,,,,,,,,
Stroke,vision_impairment,headache,numbness,memory_loss,trouble_walking,trouble_speaking,facial_paralysis,falling_over,,,,,,,,,
Stroke,vision_impairment,headache,numbness,memory_loss,trouble_walking,trouble_speaking,arm_paralysis,dizziness,,,,,,,,,
Stroke,vision_impairment,headache,numbness,memory_loss,trouble_walking,trouble_speaking,arm_paralysis,falling_over,,,,,,,,,
Stroke,vision_impairment,headache,numbness,memory_loss,trouble_walking,trouble_speaking,leg_paralysis,dizziness,,,,,,,,,
Stroke,vision_impairment,headache,numbness,memory_loss,trouble_walking,trouble_speaking,leg_paralysis,falling_over,,,,,,,,,
Coronary Artery Disease,angina,shortness_of_breath,,feeling_faint,nausea,pain_in_your_neck,,,,,,,,,,,
Coronary Artery Disease,angina,shortness_of_breath,,feeling_faint,nausea,pain_in_your_shoulders,,,,,,,,,,,
Coronary Artery Disease,angina,shortness_of_breath,,feeling_faint,nausea,pain_in_your_neck,pain_in_your_jaw,,,,,,,,,,
Coronary Artery Disease,angina,shortness_of_breath,,feeling_faint,nausea,pain_in_your_shoulders,pain_in_your_jaw,,,,,,,,,,
Coronary Artery Disease,angina,shortness_of_breath,,feeling_faint,nausea,pain_in_your_jaw,,,,,,,,,,,
Coronary Artery Disease,angina,shortness_of_breath,,feeling_faint,nausea,pain_in_your_arms,,,,,,,,,,,
Coronary Artery Disease,angina,shortness_of_breath,,feeling_faint,nausea,pain_in_your_neck,pain_in_your_shoulders,pain_in_your_jaw,,,,,,,,,
Coronary Artery Disease,angina,shortness_of_breath,,feeling_faint,nausea,pain_in_your_neck,pain_in_your_shoulders,pain_in_your_arms,,,,,,,,,
Coronary Artery Disease,angina,shortness_of_breath,,feeling_faint,cold_sweat,pain_in_your_neck,,,,,,,,,,,
Coronary Artery Disease,angina,shortness_of_breath,,feeling_faint,cold_sweat,pain_in_your_shoulders,,,,,,,,,,,
Coronary Artery Disease,angina,shortness_of_breath,,feeling_faint,cold_sweat,pain_in_your_neck,pain_in_your_jaw,,,,,,,,,,
Coronary Artery Disease,angina,shortness_of_breath,,feeling_faint,cold_sweat,pain_in_your_shoulders,pain_in_your_jaw,,,,,,,,,,
Coronary Artery Disease,angina,shortness_of_breath,,feeling_faint,cold_sweat,pain_in_your_jaw,,,,,,,,,,,
Coronary Artery Disease,angina,shortness_of_breath,,feeling_faint,cold_sweat,pain_in_your_arms,,,,,,,,,,,
Coronary Artery Disease,angina,shortness_of_breath,,feeling_faint,cold_sweat,pain_in_your_neck,pain_in_your_shoulders,pain_in_your_jaw,,,,,,,,,
Coronary Artery Disease,angina,shortness_of_breath,,feeling_faint,cold_sweat,pain_in_your_neck,pain_in_your_shoulders,pain_in_your_arms,,,,,,,,,
Inflammatory Bowel Disease (IBD),tummy_pain,diarrhea,loss_of_appetite,weight_loss,extreme_tiredness,blood_in_stool,,,,,,,,,,,
Inflammatory Bowel Disease (IBD),tummy_pain,diarrhea,loss_of_appetite,weight_loss,extreme_tiredness,mucus_in_stool,,,,,,,,,,,
Inflammatory Bowel Disease (IBD),tummy_pain,diarrhea,loss_of_appetite,weight_loss,extreme_tiredness,blood_in_stool,joint_pain,,,,,,,,,,
Inflammatory Bowel Disease (IBD),tummy_pain,diarrhea,loss_of_appetite,weight_loss,extreme_tiredness,mucus_in_stool,night_sweats,,,,,,,,,,
Inflammatory Bowel Disease (IBD),tummy_pain,diarrhea,loss_of_appetite,weight_loss,extreme_tiredness,blood_in_stool,skin_rash,,,,,,,,,,
Inflammatory Bowel Disease (IBD),tummy_pain,diarrhea,loss_of_appetite,weight_loss,extreme_tiredness,mucus_in_stool,fever,,,,,,,,,,
Inflammatory Bowel Disease (IBD),tummy_pain,diarrhea,loss_of_appetite,weight_loss,extreme_tiredness,blood_in_stool,joint_pain,night_sweats,,,,,,,,,
Inflammatory Bowel Disease (IBD),tummy_pain,diarrhea,loss_of_appetite,weight_loss,extreme_tiredness,mucus_in_stool,skin_rash,fever,,,,,,,,,
Inflammatory Bowel Disease (IBD),tummy_pain,diarrhea,loss_of_appetite,weight_loss,extreme_tiredness,blood_in_stool,joint_pain,night_sweats,skin_rash,fever,,,,,,,
Inflammatory Bowel Disease (IBD),tummy_pain,diarrhea,loss_of_appetite,weight_loss,extreme_tiredness,mucus_in_stool,joint_pain,night_sweats,skin_rash,fever,,,,,,,
Migraine,stiff_neck,excessive_hunger,visual_disturbances,dizziness,indigestion,headache,blurred_and_distorted_vision,,,,,,,,,,
Migraine,stiff_neck,excessive_hunger,visual_disturbances,dizziness,indigestion,headache,blurred_and_distorted_vision,changes_in_the_mood,,,,,,,,,
Migraine,stiff_neck,excessive_hunger,visual_disturbances,dizziness,indigestion,headache,blurred_and_distorted_vision,difficulty_speaking,,,,,,,,,
Migraine,stiff_neck,excessive_hunger,visual_disturbances,dizziness,indigestion,headache,blurred_and_distorted_vision,numbness,,,,,,,,,
Migraine,stiff_neck,excessive_hunger,visual_disturbances,dizziness,indigestion,headache,blurred_and_distorted_vision,changes_in_the_mood,difficulty_speaking,,,,,,,,
Migraine,stiff_neck,excessive_hunger,visual_disturbances,dizziness,indigestion,headache,blurred_and_distorted_vision,changes_in_the_mood,numbness,,,,,,,,
Migraine,stiff_neck,excessive_hunger,visual_disturbances,dizziness,indigestion,headache,blurred_and_distorted_vision,changes_in_the_mood,difficulty_speaking,numbness,,,,,,,
